branch_id,branch_name
101,Agricultural and Irrigation Engg.
102,Bio Medical Engg
103,Civil Engineering
104,Computer Science and Engg.
105,Electronics and Comm Engg.
106,Electrical and Elec. Engg.
107,Geo-Informatics
108,Industrial Engineering
109,Information Technology
110,Materials Science and Engg.
111,Mechanical Engineering
112,Mining Engineering
113,Manufacturing Engineering
114,Printing Technology
115,Apparel Technology
116,Chemical Engineering
117,Ceramic Technology
118,Food Technology
119,Industrial Bio-Technology
120,Leather Technology
121,Pharmaceutical Technology
122,Textile Technology
123,Petroleum Engineering And Tech
124,Textile Technology
125,Aeronautical Engineering
126,Automobile Engineering 
127,Production Engineering
128,Rubber and Plastic Technology
129,Bio Technology
130,Marine Engineering
131,Mechatronics
132,Petroleum Engineering
133,Medical Electronics Engg.
134,Petrochemical Engg.
135,Mechanical and Automation Engg.
136,Instrumentation and Control Engg.
137,Plastic Technology
138,Fashion Technology
139,Instrumentation and Control Engg(SS)
140,Metallurgical Engineering
141,Robotics and Automation
142,HANDLOOM and Textile Technology
143,Nano Science and Technology
144,Textile Chemistry
145,Electronics and Telecommunication Engg.
146,Environmental Engineering
147,Polymer Technology
