branch_id,branch_name
101,Agricultural and Irrigation Engg.
102,Bio Medical Engg
103,Civil Engineering
104,Computer Science and Engg.
105,Electronics and Comm Engg.
106,Electrical and Elec. Engg.
107,Geo-Informatics
108,Industrial Engineering
109,Information Technology
110,Materials Science and Engg.
111,Mechanical Engineering
112,Mining Engineering
113,Manufacturing Engineering
114,Printing Technology
115,Apparel Technology
116,Chemical Engineering
117,Ceramic Technology
118,Food Technology
119,Industrial Bio-Technology
120,Leather Technology
121,Pharmaceutical Technology
123,Petroleum Engineering And Tech
124,Textile Technology
125,Aeronautical Engineering
126,Automobile Engineering 
