colleg_id,college_name,place,phone_number,email,
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CEG",Chennai,8753552484,annauniversity@gmail.com,
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, ACT",Chennai,7987981999,annauniversitymit@gmail.com,
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, MIT",Kancheepuram,8436227385,annauniversityag@gmail.com,
1013,UNIVERSITY COLLEGE OF ENGINEERING.,Villupuram,9090069234,annauniversity@gmail.com,
1014,"UNIVERSITY COLLEGE OF ENGINEERING,",Villupuram,7777448955,annauniversity@gmail.com,
1015,UNIVERSITY COLLEGE OF ENGINEERING,Thiruvannamalai,9135092375,annauniversity@gmail.com,
1026,UNIVERSITY COLLEGE OF ENGINEERING,Kancheepuram,9452613238,annauniversity@gmail.com,
1101,AALIM MUHAMMED SALEGH COLLEGE OF ENGINEERING,Thiruvallur,9216419317,aalimmuhammedsaleghcollegeofengineering@gmail.com,
1102,BHAJARANG ENGINEERING COLLEGE.,Thiruvallur,9965365469,bhajarangengineeringcollege.@gmail.com,
1106,JAYA ENGINEERING COLLEGE,Thiruvallur,9212835065,jayaengineeringcollege@gmail.com,
1107,JAYA INSTITUTE OF TECHNOLOGY,Thiruvallur,7496435674,jayainstituteoftechnology@gmail.com,
1110,PRATHYUSHA ENGINEERING COLLEGE,Thiruvallur,7206933635,prathyushaengineeringcollege@gmail.com,
1112,R.M.D. ENGINEERING COLLEGE,Thiruvallur,9809244908,r.m.d.engineeringcollege@gmail.com,
1113,R.M.K. ENGINEERING COLLEGE,Thiruvallur,9417860978,r.m.k.engineeringcollege@gmail.com,
1114,S.A. ENGINEERING COLLEGE.,Thiruvallur,8931056205,s.a.engineeringcollege.@gmail.com,
1115,SRIRAM ENGINEERING COLLEGE,Thiruvallur,8052807670,sriramengineeringcollege@gmail.com,
1116,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY.,Thiruvallur,8897825036,srivenkateswaracollegeofengineeringandtechnology.@gmail.com,
1118,VEL TECH MULTI TECH DR.RANGARAJAN DR.SAKUNTHALA ENGINEERING COLLEGE,Thiruvallur,9198383442,veltechmultitechdr.rangarajandr.sakunthalaengineeringcollege@gmail.com,
1120,VELAMMAL ENGINEERING COLLEGE,Thiruvallur,9898867120,velammalengineeringcollege@gmail.com,
1121,SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY,Thiruvallur,7201717023,srivenkateswarainstituteofscienceandtechnology@gmail.com,
1122,VEL TECH HIGH TECH DR.RANGARAJAN DR.SAKUNTHALA ENGINEERING COLLEGE,Thiruvallur,8470946266,veltechhightechdr.rangarajandr.sakunthalaengineeringcollege@gmail.com,
1123,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY.,Thiruvallur,8512023498,gojanschoolofbusinessandtechnology.@gmail.com,
1124,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY,Thiruvallur,7245571761,samscollegeofengineeringandtechnology@gmail.com,
1125,PMR ENGINEERING COLLEGE.,Thiruvallur,7618832231,pmrengineeringcollege.@gmail.com,
1126,JNN INSTITUTE OF ENGINEERING,Thiruvallur,9554363446,jnninstituteofengineering@gmail.com,
1127,St. PETER'S COLLEGE OF ENGINEERING AND TECHNOLOGY,Thiruvallur,9628472085,st.peter'scollegeofengineeringandtechnology@gmail.com,
1128,R.M.K. COLLEGE OF ENGINEERING AND TECHNOLOGY,Thiruvallur,7621197772,r.m.k.collegeofengineeringandtechnology@gmail.com,
1131,VEL TECH,Thiruvallur,8014700516,veltech@gmail.com,
1133,ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING,Kancheepuram,8994905141,annaiveilankanni'scollegeofengineering@gmail.com,
1137,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY,Vellore,9244776519,annaimiracollegeofengineeringandtechnology@gmail.com,
1140,JEPPIAAR INSTITUTE OF TECHNOLOGY,Kancheepuram,7906496355,jeppiaarinstituteoftechnology@gmail.com,
