college_id,branch_id,OC,BCM,BC,MBC,SCA,SC,ST
1,101,196.25,193.25,195.25,194.25,185.75,188.75,175.25
1,102,198.25,197.25,197.5,196.5,191.75,193,188
1,103,198.5,197.5,198,197.5,193.5,196,196
1,104,199.75,199.5,199.5,199,196.25,197.5,193.75
1,105,200,199.75,199.75,199.25,197,198.25,190.25
1,105,199.25,198.5,199,198.75,197,196.5,193.25
1,106,196.75,194,196,194.75,186.25,188.75,0
1,107,196.5,195.5,196,194.25,184,186.75,0
1,108,198.5,197.75,198,197,184.5,191.5,172
1,109,196,194.75,195.5,194.25,179.75,184,0
1,110,199.25,198.5,199,198.25,196.5,196.5,190.75
1,111,197,193.25,196,195,191,188.75,0
1,112,197.25,196.75,196.5,195.5,193,187,0
1,113,195,190.75,194.25,192.5,180.25,183.75,164.5
2,114,193.25,191,192,190,173.25,178.5,0
2,115,198.5,196.75,197.75,197,195.25,193.5,185.25
2,116,192.75,190.25,192,190.25,170.75,178,0
2,117,196,194.25,195.25,193.5,175.5,186.25,0
2,118,197.75,195.75,197,195.5,192.75,193,0
2,119,193.75,193,192.75,191.25,179.75,181.75,178.5
2,120,195,194.75,194.25,192.25,172.5,183.5,0
2,121,195.75,194.75,195,193.5,176.25,185.75,165.25
2,122,193.75,192.25,193,191.75,177,182,157.25
4,123,198.25,197.75,197.33,197,195,194.75,0
4,124,197.5,196.75,197,195.75,187,191.25,180.75
4,104,198.5,197.5,198.33,197,186,192,0
4,104,198.75,198,198.5,197.75,197.5,195,192.25
4,105,199.25,198,199,198.25,196.25,196.5,188.25
4,125,198.25,197.75,198,197.25,190.75,192.75,176.5
4,105,198.75,197,198.5,197.75,188.75,193.5,177.75
4,126,197.75,196.75,197.25,196.25,179.5,189.75,0
4,108,197.75,196.25,197.5,196,180,188.75,168
4,110,198.75,197.5,198.25,197.75,191.5,194.25,186.75
4,127,196.75,195.5,196.25,194.75,186.25,186.75,168
4,128,194.75,191.5,193.5,193,174.75,183.75,161.25
1013,104,179.25,168.75,174,175.5,163.25,162.75,149.25
1013,105,183.75,177.75,176.75,180.25,138,165.5,0
1013,109,173.75,145.25,165.5,163.25,134.75,156.75,0
1013,110,180.25,174,176,176.5,144.25,167.5,175.25
1013,110,125,0,92.75,92.5,0,96,0
1014,103,174.75,156.5,158.75,163.75,122.25,161.5,139.5
1014,104,173.5,156,167,168.25,164.5,161.25,139.25
1014,105,180.25,160.25,172.5,172.75,118,161.75,0
1014,109,162.5,151,155.75,157,113.75,152.75,0
1014,103,100.25,0,90.25,0,0,0,0
1015,104,169.75,143.75,162,163,99.5,151,131
1015,105,182.25,105.5,173.25,173.25,153,151.75,155
1015,105,175.25,142.25,168,171.25,128.75,150,135
1015,110,177,164.75,171.25,172,127.25,158.5,0
1015,110,109.75,0,108,95.5,0,85.5,0
1026,104,187.25,178.75,183,179.5,174,165.25,140.75
1026,105,189.5,169.75,187.5,184.25,143.75,167,0
1026,105,184.5,166.75,180.5,178.5,146.5,164.75,0
1026,110,187.25,180,181.25,180,172,164.5,142.5
1101,103,138.5,138,137.25,0,0,127.25,0
1101,104,125.5,120.25,86.25,123,0,105.5,0
1101,105,109.25,106,97.5,0,0,106.5,0
1101,105,142.75,142.5,0,122.5,0,0,0
1101,109,96.5,0,0,0,0,0,0
1101,110,167.5,164.5,90,116.75,0,115.75,0
1102,104,84.25,0,0,0,0,0,0
1102,105,80.5,0,0,0,0,0,0
1102,110,91.5,0,0,0,0,0,0
1106,123,98,0,0,0,0,0,0
1106,103,84,0,0,0,0,0,0
1106,104,134.5,91.5,95,89.25,0,0,0
1106,105,126,0,88,94.75,124.25,120.5,0
1106,105,117.75,0,0,0,0,0,0
1106,125,96.75,0,0,0,0,0,0
1106,109,85.75,0,0,0,0,0,0
1106,110,149.5,0,143.5,108.25,0,99.5,0
1106,122,137.75,134.5,104,96.5,0,0,0
1107,105,121.75,0,0,0,0,0,0
1110,129,181,178.5,177.25,171.5,0,156.75,0
1110,103,91.5,0,0,0,0,0,0
1110,104,158.5,131.5,143.5,125.75,0,88.25,0
1110,105,154.5,124.5,145.75,125.5,0,109,0
1110,105,143,0,126.5,121.5,0,130,0
1110,110,148.25,0,133.5,119.5,0,86.75,0
1112,104,192.5,182.25,190,186,0,149.75,0
1112,105,192.75,183,190.75,186.25,142.75,166.75,0
1112,105,189.5,183,187.5,184,0,156.5,156
1112,125,187.25,166.25,183.5,174.5,0,135.75,0
1112,109,187.75,178,186.75,175,0,145,0
1113,103,186.25,173,182.5,177.75,116,154.5,135.25
1113,104,195,189.5,193.75,189.5,168,169,0
1113,105,194.75,190.5,193.75,190.25,148,174,166.5
1113,105,193.25,184,191.5,188.75,133.25,173.75,146.5
1113,125,191.75,174.75,189.25,182.5,0,156.5,0
1113,109,193.5,188.75,192,186.5,187,159.25,0
1113,110,194,189.25,192.75,190.5,140.25,179.75,0
1114,103,128,113,93.25,94.25,0,107,0
1114,104,163.25,150,153.5,153.25,0,104,0
1114,105,164.5,134.5,154.75,146,0,118.5,0
1114,105,147.75,0,134.25,124.75,0,89,0
1114,109,154.5,135,149.5,148.5,0,116.25,0
1114,110,156.75,144.75,150.5,146.5,105.75,114,0
1115,124,110.5,0,96.5,0,0,0,0
1115,115,173.75,158.75,164,151.25,0,95.5,0
1115,104,96,0,0,0,0,0,0
1115,105,96.25,0,0,0,0,0,0
1115,105,99.75,0,0,0,0,0,0
1115,110,130,0,106,82,0,94.5,0
1116,103,108.75,0,0,0,0,0,0
1116,104,146,0,94.5,81.75,0,107.5,0
1116,105,154.5,147.75,92,102.25,0,103.25,0
1116,105,113.25,0,0,0,0,0,0
1116,110,104,0,0,92.5,0,0,0
1118,102,191,189,187,183.25,149.5,162.75,0
1118,103,145,132.75,122.5,121.25,0,106.25,0
1118,104,173,155.75,169.25,160.5,167,117.25,0
1118,105,178.75,170.75,173.75,170,0,98,0
1118,105,156.5,143,144,138.5,0,97.5,146
1118,109,152.25,119,136.75,120.25,0,109,0
1118,110,172.5,159.25,165.75,159.75,104.75,134.5,0
1120,124,177,171.25,169.5,164.25,0,129,0
1120,103,180.5,173.25,175,174.5,0,146.75,0
1120,104,188,182.75,186,177,152.25,146.5,118.5
1120,105,190.75,176.75,188.25,184.25,95.5,163.75,0
1120,105,186.25,178,183.5,178.25,0,152,0
1120,125,180,174.25,176.5,169.5,0,121.75,0
1120,109,184.75,179.75,182,173.25,0,129.75,0
1120,110,186.5,182.75,183.5,178.5,0,155.25,110
1121,104,111,0,93.5,90.5,0,105.25,0
1121,105,99.75,0,0,0,0,0,0
1121,105,167.25,0,0,0,0,0,0
1121,110,92.75,0,0,0,0,0,0
1122,129,187.25,181.5,183.25,180.75,170.25,162.5,0
1122,103,101,0,96.75,93.25,0,0,0
1122,115,186.5,179.75,185.25,184.75,0,148.75,0
1122,104,166.75,157.5,162,153,0,105.75,0
1122,105,172,161,165.25,160,0,84,0
1122,105,169,142.75,157.5,149.25,0,111.75,0
1122,109,165.5,162.75,158.75,151.25,0,134.75,0
1122,110,162.75,143.5,156.5,152.25,0,119.5,0
1123,123,143,0,0,0,0,0,0
1123,103,92.5,0,0,0,0,0,0
1123,104,102.5,86.75,101,87.5,0,0,0
1123,105,100.5,0,0,0,0,0,0
1123,105,97.75,0,0,0,0,0,0
1123,109,90,0,0,0,0,0,0
1123,110,91.25,87.75,0,0,0,0,0
1124,110,102.25,0,0,0,0,0,0
1124,130,174,136.5,155.25,162,0,161.25,0
1125,123,100,0,0,0,0,0,0
1125,104,148.75,0,0,0,0,0,0
1125,105,131,0,0,0,0,0,0
1125,105,185.5,0,0,0,0,0,0
1126,103,97.25,0,0,0,0,0,0
1126,104,153,122.5,89.75,113.75,0,121,0
1126,105,100.75,0,0,0,0,0,0
1126,105,88.25,0,0,0,0,0,0
1126,110,83.25,0,0,0,0,0,0
1127,123,92,0,0,0,0,0,0
1127,129,170,109.75,148.25,129.75,0,148,0
1127,103,79,0,0,0,0,0,0
1127,115,167.5,159.25,139.75,139.5,0,108.75,0
1127,104,138.5,122.5,108,98.25,0,0,85
1127,105,79,0,0,0,0,0,0
1127,105,98.75,0,0,0,0,0,0
1127,109,119.5,0,94.25,0,0,95.5,0
1127,110,114.5,0,89.75,86,0,106.5,0
1128,104,187.5,169,184.75,176,0,140.75,0
1128,105,187.25,169,184.75,179.75,0,145.25,0
1128,105,185.75,174,184.5,174.75,0,152,0
1128,110,186,181.5,183.75,176.5,86.25,155,163.5
1131,103,131,0,112,93.25,0,103.75,0
1131,105,173,141.75,160.5,154,0,86.25,0
1131,105,150.5,99.25,135.25,127.25,0,0,0
1131,110,159.75,143.25,154.5,147.5,0,117.75,0
1133,103,130.5,0,0,0,0,0,0
1133,104,83.25,0,0,0,0,0,0
1133,105,101.75,0,0,0,0,0,0
1133,105,87,0,0,0,0,0,0
1133,110,82.75,0,0,0,0,0,0
1137,103,121,0,0,0,0,0,0
1137,104,155.25,106.25,103.25,102.25,0,0,0
1137,105,168,164.5,126.5,122,0,0,0
1137,105,150.25,0,127,111,0,0,0
1137,110,157,0,92.25,83.75,0,117.25,0
1140,104,172.75,158.25,169.25,156,0,105.25,0
1140,105,166.75,146.5,157.25,138,0,121.5,0
1140,105,161.75,0,153.5,145.25,0,135.75,95.25
1140,109,161.75,0,154.75,137.25,0,91,0
1140,110,165.25,119.25,154.5,152.75,0,79,0
1141,103,155,0,0,0,0,0,0
1141,104,91.75,0,0,0,0,0,0
1141,105,103,0,0,0,0,0,0
1141,105,119.5,0,0,0,0,0,0
1141,110,89.25,0,0,0,0,0,0
1143,104,154,0,0,0,0,0,0
1143,105,159.75,0,0,0,0,0,0
1143,110,101.25,0,0,0,0,0,0
1149,103,174.75,174,173,166.25,0,145.75,0
1149,104,188,181.25,185,178.5,113.5,141.25,0
1149,105,189.75,175.75,186.75,180,0,164.5,0
1149,105,183,173,179.25,170.5,142.25,142,0
1149,109,183.5,167.75,181.25,173.5,156,137.5,0
1149,110,183,176.5,179,172.5,0,144.75,136.25
1150,103,103.25,0,0,0,0,0,0
1150,105,101,0,0,0,0,0,0
1150,110,85.25,0,0,0,0,0,0
1157,103,128.5,0,0,0,0,0,0
1157,104,90.5,0,0,0,0,0,0
1157,105,94,0,0,0,0,0,0
1157,110,84.25,0,0,0,0,0,0
1201,104,95,0,0,0,0,0,0
1201,105,86,0,0,0,0,0,0
1201,109,111.75,0,0,0,0,0,0
1201,110,95.75,0,0,0,0,0,0
1202,103,95.5,0,0,0,0,0,0
1202,104,133.5,101,100.25,109,0,0,0
1202,105,142,104.5,92,93.75,0,0,0
1202,105,130.5,0,90.25,81.5,0,0,0
1202,109,128.25,94,86.5,94.5,0,0,0
1202,110,139.75,102.25,102,91.25,0,103,0
1205,105,130.75,0,0,0,0,0,0
1206,103,107.75,0,0,0,0,0,0
1206,104,150.75,91,133,113.75,0,81.75,0
1206,105,147,121.25,127.75,100.75,0,89.25,0
1206,105,136.25,0,113,113,0,102,0
1206,109,123.75,0,95,104.25,0,106,0
1206,110,143.75,107.25,126.75,118.75,0,84.5,0
1207,104,97.25,0,87,0,0,96.5,0
1207,105,104.5,0,91.25,87.5,0,0,0
1207,109,109.75,91.25,94.5,83.25,0,0,0
1207,110,122.75,0,87.25,86.5,0,0,0
1208,104,96.5,0,0,0,0,0,0
1208,105,105.5,0,0,0,0,0,0
1208,110,115.75,0,0,0,0,0,0
1209,103,102,0,0,0,0,0,0
1209,104,106.25,0,0,0,0,0,0
1209,105,92,0,0,0,0,0,0
1209,105,91.25,0,0,0,0,0,0
1209,109,113.75,0,0,0,0,0,0
1209,110,92.75,0,0,0,0,0,0
1210,103,184,163.5,176.75,170.75,0,148.25,0
1210,104,190.5,177.75,189,183.75,106.75,147,110
1210,105,192.75,185.5,190.5,187,129,168.25,137.25
1210,105,190,173.5,187.5,184,126.75,156,151
1210,125,181.5,162.5,177.75,166.5,0,128.5,0
1210,109,185.25,167.5,183,176.5,0,135.25,91.5
1210,110,190,181.75,187,183.25,120.5,156.5,126
1211,123,185.75,176,181.25,174.5,0,160.5,0
1211,124,186.5,179.75,181.5,170.5,0,153.75,0
1211,102,192.75,186.5,189.25,185.25,153.75,171.5,170.75
1211,129,191.25,190.5,189,186,106,166.25,152.25
1211,103,180.75,168.25,176.5,170.5,80,150,123
1211,115,189.25,182,187,184.25,103.5,158.25,0
1211,104,190,178.5,188,180,111.5,152,99.75
1211,105,190.5,183.75,189,183.5,88.75,165.5,142
1211,105,187.25,180.75,185,177.5,116.75,151.5,140.75
1211,109,186.5,178,185,176.5,0,141.5,0
1211,131,189,184.5,186.25,180.25,0,165.5,0
1211,110,190.25,185.5,187.5,182,114.25,163.75,100.25
1212,124,99,0,0,0,0,0,0
1212,102,177.5,171.75,171.5,164.25,174.75,159,0
1212,103,103.25,0,0,0,0,0,0
1212,104,144.75,0,111.75,127.75,0,124.5,0
1212,105,123,0,0,102.75,0,0,0
1212,105,113,0,0,0,0,0,0
1212,110,107.25,0,100.5,96.5,0,0,0
1212,132,165,154,138.25,137.5,0,115.25,0
1213,102,150,139.5,132,123.5,0,93.5,0
1213,104,123.5,97.25,103.75,85.5,0,0,0
1213,105,111.25,0,96.25,84.5,0,0,0
1213,105,103,0,0,0,0,0,0
1213,109,105.75,0,94,0,0,85.5,0
1213,110,90.25,0,0,0,0,0,0
1214,124,143.25,0,0,0,0,0,0
1214,104,191,0,0,0,0,0,0
1214,105,147,0,0,0,0,0,0
1214,105,113.75,0,0,0,0,0,0
1214,109,152.75,0,0,0,0,0,0
1214,110,132,0,0,0,0,0,0
1216,101,180.5,180.5,168,164.75,170.75,154.75,0
1216,102,190.5,188.5,186.25,181,0,168.75,0
1216,103,159.25,143.5,148,143.5,0,108.5,0
1216,104,177.75,162.5,172.75,163.75,0,134,0
1216,105,173,163.75,169.25,162.5,113.5,130.5,144.25
1216,105,175.75,161,168.75,162,0,137.75,0
1216,125,168.5,152.5,162.5,155.25,0,84,0
1216,109,173.75,163,171.5,159.5,0,125.5,0
1216,133,169.5,165,161.5,148.5,0,115.75,0
1216,110,171,162.75,165.5,160.5,139.75,136,0
1217,123,99.5,0,0,0,0,0,0
1217,124,114,0,100,0,0,0,0
1217,129,166.5,120,127,125.5,0,113,0
1217,103,101,0,0,0,0,0,0
1217,104,131,0,95,82.25,0,0,0
1217,105,113,0,0,0,0,0,0
1217,105,144.75,0,0,0,0,0,0
1217,109,141.75,0,0,0,0,0,0
1217,110,132.5,110,90.5,99.75,0,0,0
1218,103,131.5,0,0,0,0,0,0
1218,104,99.75,0,0,0,0,0,0
1218,105,99.75,0,0,0,0,0,0
1218,105,83,0,0,0,0,0,0
1218,109,92.75,0,0,0,0,0,0
1218,110,100.25,0,0,0,0,0,0
1219,124,195,190,192.75,187.75,175.25,172.5,0
1219,129,194.5,190.75,193.25,190.75,158,181,0
1219,103,193.75,191,192.75,190.5,159,177.5,0
1219,115,194.25,191.75,192.5,191,146.5,165.5,0
1219,104,196.25,193,195.5,193,153.5,179,144.25
1219,105,196.5,192.25,195.75,193.5,162.5,181.25,0
1219,105,195.75,191.5,195,191.75,171,176.25,155
1219,109,195.25,190.25,194.75,191.75,123.25,168,0
1219,110,196,194.25,195.5,193.5,153,181,160.75
1219,130,192.25,188.5,191.25,189.5,0,182.25,0
1221,104,82.5,0,0,0,0,0,0
1221,110,95,0,0,0,0,0,0
1222,123,142,0,100.5,139.5,0,128,0
1222,124,110,0,0,0,0,0,0
1222,103,82,0,0,0,0,0,0
1222,104,103.75,0,89.5,98.75,0,0,0
1222,105,93.75,0,0,0,0,0,0
1222,105,115.75,0,0,0,0,0,0
1222,109,84.5,0,0,0,0,0,0
1222,110,132.25,0,102,81.75,0,87.25,0
1225,103,87.75,0,0,0,0,0,0
1225,104,153,120.75,136,139,0,0,0
1225,105,144.5,0,101.75,80.25,0,0,0
1225,105,136.75,0,89.5,104.5,135.75,0,0
1225,109,146,111.5,95.25,112.5,0,120,0
1225,110,137.25,98.5,98.25,87.5,97.25,0,0
1226,103,85.75,0,0,81,0,0,0
1226,104,109.5,0,98.25,85,0,0,0
1226,105,80.75,0,0,0,0,0,0
1226,105,126.25,0,87.75,80.5,0,124.5,0
1226,110,120,0,100.25,92,0,0,0
1228,102,166,142.5,150,149,140.75,150,0
1228,104,77.75,0,0,0,0,0,0
1228,105,118.75,0,0,0,0,0,0
