college_id,college_name,place,phone_number,email
1538,Madras Medical College,Chennai,8011396805,MadrasMedicalCollege@gmail.com
2513,Stanley Medical College,Chennai,9694958272,StanleyMedicalCollege@gmail.com
2588,Kilpauk Medical College,Chennai,7919375477,KilpaukMedicalCollege@gmail.com
1833,Government Medical College,Tirunelveli,9451641364,GovernmentMedicalCollege@gmail.com
2810,Coimbatore Medical College,Coimbatore,9053017450,CoimbatoreMedicalCollege@gmail.com
2502,Thanjavur Medical College,Thanjavur,7753492848,ThanjavurMedicalCollege@gmail.com
2409,Chengalpattu Medical College,Chengalpattu,8976817226,ChengalpattuMedicalCollege@gmail.com
2436,Madurai Medical College,Madurai,7716115118,MaduraiMedicalCollege@gmail.com
2963,K.A.P. Viswanatham Government Medical College,Tiruchirapalli,9450049525,K.A.P.ViswanathamGovernmentMedicalCollege@gmail.com
2733,Government Mohan Kumaramangalam Medical College,Salem,9577101927,GovernmentMohanKumaramangalamMedicalCollege@gmail.com
1987,Government Vellore Medical College,Vellore,9039580307,GovernmentVelloreMedicalCollege@gmail.com
2084,Thoothukudi Medical College,Thoothukudi,8573544567,ThoothukudiMedicalCollege@gmail.com
1662,Government Medical College & ESIC Hospital,Coimbatore,9690852210,GovernmentMedicalCollege&ESICHospital@gmail.com
2417,Government Sivagangai Medical College,Sivagangai,8439610403,GovernmentSivagangaiMedicalCollege@gmail.com
2722,Government Medical College & Hospital,Pudukkottai,7513545202,GovernmentMedicalCollege&Hospital@gmail.com
1776,Theni Government Medical College,Theni,7992670933,TheniGovernmentMedicalCollege@gmail.com
2817,Government Dharmapuri Medical College,Dharmapuri,9280907194,GovernmentDharmapuriMedicalCollege@gmail.com
1553,Government Villupuram Medical College,Villupuram,7666667697,GovernmentVillupuramMedicalCollege@gmail.com
1711,Tiruvarur Govt. Medical College,Tiruvarur,9020946726,TiruvarurGovt.MedicalCollege@gmail.com
2624,Government Thiruvannamalai Medical College,Thiruvannamalai,9211663889,GovernmentThiruvannamalaiMedicalCollege@gmail.com
1720,Government Medical College & Hospital,Omandurar,8177959612,GovernmentMedicalCollege&Hospital@gmail.com
2037,Government Medical College & Hospital,Karur,9516139663,GovernmentMedicalCollege&Hospital@gmail.com
2820,Kanyakumari Government Medical College,Kanyakumari,9548578864,KanyakumariGovernmentMedicalCollege@gmail.com
2466,Government Medical College & Hospital,Thiruvarur,9933798646,GovernmentMedicalCollege&Hospital@gmail.com
2611,Government Medical College & Hospital,Kallakurichi,9258798206,GovernmentMedicalCollege&Hospital@gmail.com
2021,Government Medical College & Hospital,Ariyalur,9626223696,GovernmentMedicalCollege&Hospital@gmail.com
2613,Government Medical College & Hospital,Tenkasi,8890231291,GovernmentMedicalCollege&Hospital@gmail.com
2109,Government Medical College & Hospital,Ramanathapuram,8956203070,GovernmentMedicalCollege&Hospital@gmail.com
1628,Government Medical College & Hospital,Dindigul,8793069412,GovernmentMedicalCollege&Hospital@gmail.com
